KEYID,Height,NFloor,MainUse,TFA,FA_R,FA_O,FA_C,FA_H,FA_L,Str,TRA,RA_G,RA_PV,RA_O,Shape_Leng,Age,Shape_Length,Shape_Area,uq_visitors,t_visits,stride_avg,tile_sqm,GFArea,KFArea,footsteps,EnergyDaily_J,EnergyDaily_kWh,EnergyYearly_kWh,Coverage_pct,KFloor_10p,KFloor_25p,KFloor_50p,KFloor_75p,KFloor_90p,Energy_10p_kWh,Energy_25p_kWh,Energy_50p_kWh,Energy_75p_kWh,Energy_90p_kWh
164,21,6,Office,842.1909368,0,100,0,0,0,RC,140.3651561,0,0,100,49.43687279,1985,49.42924531,140.3221309,5,5,1.2,0.25,140.3651561,140.3651561,584,2924.274086,0.000812298,0.2964889,100,14.03651561,35.09128903,70.18257807,105.2738671,126.3286405,8.12298E-05,0.000203075,0.000406149,0.000609224,0.000731069
165,17.5,5,Office,274.320512,33,55,12,0,0,RC,54.86410241,0,0,100,33.62594322,1985,33.62088164,54.84737464,5,6,1.2,0.25,54.86410241,54.86410241,274,1371.60256,0.000381001,0.13906526,100,5.486410241,13.7160256,27.4320512,41.1480768,49.37769217,3.81001E-05,9.52502E-05,0.0001905,0.000285751,0.000342901
166,7,2,Office,606.6819265,0,100,0,0,0,S,303.3409633,0,0,100,91.58096254,1989,91.56705323,303.2483037,16,18,1.2,0.25,303.3409633,303.3409633,4550,22750.57225,0.006319603,2.306655242,100,30.33409633,75.83524082,151.6704816,227.5057225,273.0068669,0.00063196,0.001579901,0.003159802,0.004739703,0.005687643
167,24.5,7,Office,706.008831,0,100,0,0,0,RC,100.8584044,0,0,100,52.64228471,1989,52.63425134,100.8283446,14,15,1.2,0.25,100.8584044,100.8584044,1260,6303.650277,0.001751014,0.639120098,100,10.08584044,25.21460111,50.42920221,75.64380332,90.77256399,0.000175101,0.000437753,0.000875507,0.00131326,0.001575913
168,10.5,3,Resid,233.8441602,0,100,0,0,0,RC,77.94805341,0,0,100,43.75413097,1977,43.7472554,77.92315453,4,6,1.2,0.25,77.94805341,77.94805341,390,1948.701335,0.000541306,0.197576663,100,7.794805341,19.48701335,38.9740267,58.46104006,70.15324807,5.41306E-05,0.000135326,0.000270653,0.000405979,0.000487175
169,10.5,3,Resid,80.35290352,100,0,0,0,0,W,26.78430117,0,0,100,21.3977882,1991,21.3945372,26.77622216,0,1,1.2,0.25,26.78430117,26.78430117,22,111.6012549,3.10003E-05,0.011315127,100,2.678430117,6.696075293,13.39215059,20.08822588,24.10587106,3.10003E-06,7.75009E-06,1.55002E-05,2.32503E-05,2.79003E-05
170,17.5,5,Office,297.339013,20,20,60,0,0,RC,59.4678026,0,0,100,31.2020924,1986,31.19746506,59.45010722,27,27,1.2,0.25,59.4678026,59.4678026,1338,6690.127793,0.001858369,0.678304623,100,5.94678026,14.86695065,29.7339013,44.60085195,53.52102234,0.000185837,0.000464592,0.000929184,0.001393777,0.001672532
171,10.5,3,Office,77.9077534,0,100,0,0,0,W,25.96925113,0,0,100,23.22560237,1999,23.22207693,25.96151111,0,1,1.2,0.25,25.96925113,25.96925113,22,108.2052131,3.0057E-05,0.010970806,100,2.596925113,6.492312783,12.98462557,19.47693835,23.37232602,3.0057E-06,7.51425E-06,1.50285E-05,2.25428E-05,2.70513E-05
173,14,4,Office,2332.074634,0,100,0,0,0,RC,583.0186585,0,0,100,121.8566566,2018,121.8381822,582.841612,107,140,1.2,0.25,583.0186585,583.0186585,68018,340094.2175,0.094470616,34.48177483,100,58.30186585,145.7546646,291.5093292,437.2639939,524.7167926,0.009447062,0.023617654,0.047235308,0.070852962,0.085023554
174,14,4,Office,108.3896047,0,50,50,0,0,RC,27.09740118,0,0,100,20.82718489,1971,20.82403111,27.08918854,2,2,1.2,0.25,27.09740118,27.09740118,46,225.8116765,6.27255E-05,0.022894795,100,2.709740118,6.774350296,13.54870059,20.32305089,24.38766106,6.27255E-06,1.56814E-05,3.13627E-05,4.70441E-05,5.64529E-05
175,24.5,7,Resid,582.5526255,23,53,24,0,0,RC,83.22180364,0,0,100,37.85289275,1980,37.84722229,83.19671044,25,27,1.2,0.25,83.22180364,83.22180364,1872,9362.45291,0.002600681,0.949248698,100,8.322180364,20.80545091,41.61090182,62.41635273,74.89962328,0.000260068,0.00065017,0.001300341,0.001950511,0.002340613
